Ransomware ,Company Name,Industry,Headquarters,Country,Date of attack,APAC? (Yes/No),Type of data leaked
Conti,SET Enterprises Inc,Manufacturing,"Warren, MI",States,3/17/2021,No,Entire System
Conti,Nenplas Company,Manufacturing,"Ashbourne, United Kingdom",Kingdom,3/17/2021,No,Entire System
Conti,LivaNova PLC,Healthcare,"London, United Kingdom",Kingdom,3/16/2021,No,Entire System
Conti,capmar,Advertising & Marketing,"Raleigh, NC",States,3/16/2021,No,Computer Files
Conti,Amaroo Village,Essential Services,"Gosnells , Australia",Australia,3/11/2021,Yes,Entire System
Conti,Nienkamper Furniture & Accessories Inc,Manufacturing,"Scarborough, ON",Canada,3/10/2021,No,Entire System
Conti,"Area Diesel Service, Inc.",Automotive,"Indianapolis, IN",States,3/10/2021,No,Entire System
Conti,White Management Corp,Entertainment,"Los Angeles, CA",States,3/9/2021,No,Computer Files
Conti,mclellanindustries,Manufacturing,"South San Francisco, CA",States,3/8/2021,No,Undisclosed
Conti,Ajax TOCCO,Manufacturing,"Warren, OH",States,3/4/2021,No,Entire System
Conti,The Brevard County Sheriff,Government,"Titusville, FL",States,3/4/2021,No,Undisclosed
Conti,ExideÂ Technologies,Manufacturing,"Milton, GA",Kingdom,3/4/2021,No,Entire System
Conti,H-E-B Center at Cedar Park,Entertainment,"Cedar Park, TX",States,3/4/2021,No,Undisclosed
Conti,C.A.T. Inc,Technology,"Lisbon, Portugal",Portugal,3/4/2021,No,Entire System
Conti,Christensen O Connor Johnson Kindness,Financial,"Seattle, WA",States,3/4/2021,No,Entire System
Conti,morris costumes,Retail & Sales,"Charlotte, NC",States,3/2/2021,No,Entire System
Conti,Willdan Group,Utilities,"Anaheim, CA",States,3/1/2021,No,Entire System
Conti,Island Pacific,Technology,"Santa Ana, CA",States,3/1/2021,No,Entire System
Conti,Caster Concepts,Manufacturing,"Albion, Michigan, United States",States,2/25/2021,No,Entire System
Conti,J Rosenthal and Son,Manufacturing,"Radcliffe, United Kingdom",Kingdom,2/24/2021,No,Entire System
Conti,"Atlantic, Tomorrow",Technology,"New York, NY",States,2/24/2021,No,Entire System
Conti,Custom Made Meals,Food,"Denver, CO",Colombia,2/24/2021,No,Entire System
Conti,The International Society of Automation,Logistics and Supply,"Durham, NC",States,2/24/2021,No,Entire System
Conti,PartsBase,Logistics and Supply,"Boca Raton, FL",States,2/24/2021,No,Undisclosed
Conti,Neil Kelly,Construction,"Portland, OR",States,2/24/2021,No,Undisclosed
Conti,Romero Gamero,Construction,spain,España,2/24/2021,No,Undisclosed
Conti,Blue Projectc Inc,Retail & Sales,"Bucharest, Romania",România,2/24/2021,No,Entire System
Conti,Valley Wide Cooperative,Manufacturing,"Nampa, ID",States,2/24/2021,No,Entire System
Conti,Smith,Retail & Sales,"Clearfield, UT",States,2/24/2021,No,Entire System
Conti,MNA Advertising & Marketing,Advertising & Marketing,"Wolverhampton, United Kingdom",Kingdom,2/24/2021,No,Entire System
Conti,B Green Retail & Sales,Retail & Sales,Baltimore,States,2/24/2021,No,Entire System
Conti,PFF Group UK,Manufacturing,"Keighley, KS",States,2/24/2021,No,Entire System
Conti,SMC Industries,Manufacturing,"Tokyo, Japan",Japan,2/23/2021,Yes,Entire System
Conti,Syndiant,Manufacturing,"Dallas, TX",States,2/17/2021,No,Entire System
